location_id,product_name,category,type,strain,amount,thc,cbd,price_original,price_discounted,brand,product_id_website,product_description,product_url,image_url,image_filename,featured,stock,qty
muv_apollo_beach,1:1 Mandarin Soft Chews,Edible,Candies,Hybrid,,100mg,100mg,25,,MÜV,1064821,"Carefully crafted and perfected by artisan confectionaries, MÜV Soft Chews deliver a consistent dose of medical marijuana and robust flavor with every bite.  Zesty, bright, and refreshing Mandarin flavor will deliver equal doses of CBD and THC in every delicious bite, making this hybrid a tasty daytime option. ",https://www.iheartjane.com/embed/stores/487/products/1064821/muv-1-1-mandarin-soft-chews-100mg-cbd-100mg-thc,https://v2.checkprojectstatus.com/Laravel/uploads/products/166115963516601173251656048139_8641.jpg,166115963516601173251656048139_8641.jpg,1,1,1000
muv_apollo_beach,2:1 Strawberry Peach Soft Chews ,Edible,Candies,Hybrid,,100mg,200mg,30,,MÜV,1064824,"Carefully crafted and perfected by artisan confectionaries, MÜV Soft Chews deliver a consistent dose of medical marijuana and robust flavor with every bite.  Enjoy the taste of summer anytime with Strawberry Peach Soft Chews. This hybrid 2:1 CBD/THC is a great option day or night. ",https://www.iheartjane.com/embed/stores/487/products/1064824/muv-2-1-strawberry-peach-soft-chews-200mg-cbd-100mg-thc,https://v2.checkprojectstatus.com/Laravel/uploads/products/166115963516601173251656048139_8641.jpg,166115963516601173251656048139_8641.jpg,1,1,1000
muv_apollo_beach,Caramel,Edible,Candies,Hybrid,,,,25,,MÜV,1083345,"Rich, buttery hand-crafted caramel is infused with ultra-refined cannabis distillate oil. Each piece is precisely dosed with 10 mg of THC per piece and melt-in-your mouth delicious. Classic Caramel provides a sweet, rich medicating experience.",https://www.iheartjane.com/embed/stores/487/products/1083345/muv-caramel-10pk-100mg,https://v2.checkprojectstatus.com/Laravel/uploads/products/166115963516601173251656048139_8641.jpg,166115963516601173251656048139_8641.jpg,1,1,1000
muv_apollo_beach,Caramel Apple,Edible,Candies,Hybrid,,,,25,,MÜV,1083346,"Rich, buttery hand-crafted caramel is infused with ultra-refined cannabis distillate oil. Each piece is precisely dosed with 10 mg of THC per piece and melt-in-your mouth delicious. Caramel Apple provides a nostalgic caramel apple flavor.",https://www.iheartjane.com/embed/stores/487/products/1083346/muv-caramel-apple-10pk-100mg,https://v2.checkprojectstatus.com/Laravel/uploads/products/166115963516601173251656048139_8641.jpg,166115963516601173251656048139_8641.jpg,1,1,1000
muv_apollo_beach,Sea Salt Caramel,Edible,Candies,Hybrid,,,,25,,MÜV,1083347,"Rich, buttery hand-crafted caramel is infused with ultra-refined cannabis distillate oil. Each piece is precisely dosed with 10 mg of THC per piece and melt-in-your mouth delicious. Sea Salt Caramel provides an explosion of sweet-meets-salty flavor.",https://www.iheartjane.com/embed/stores/487/products/1083347/muv-sea-salt-caramel-10pk-100mg,https://v2.checkprojectstatus.com/Laravel/uploads/products/166115963516601173251656048139_8641.jpg,166115963516601173251656048139_8641.jpg,1,1,1000
muv_apollo_beach,Strawberry Soft Chews,Edible,Candies,Hybrid,,,,25,,MÜV,1064813,"Carefully crafted and perfected by artisan confectionaries, MÜV Soft Chews deliver a consistent dose of medical marijuana and robust flavor with every bite. Bite into the undeniable taste of Strawberry and ease into the effects of this deliciously blended hybrid Soft Chew.  ",https://www.iheartjane.com/embed/stores/487/products/1064813/muv-strawberry-soft-chews-100mg,https://v2.checkprojectstatus.com/Laravel/uploads/products/166115963516601173251656048139_8641.jpg,166115963516601173251656048139_8641.jpg,1,1,1000
muv_apollo_beach,Watermelon Soft Chews,Edible,Candies,Sativa,,,,25,,MÜV,1064819,"Carefully crafted and perfected by artisan confectionaries, MÜV Soft Chews deliver a consistent dose of medical marijuana and robust flavor with every bite. The refreshingly juicy taste of watermelon infused with the perfect blend of terpenes and cannabis distillate, delivered in a pectin hybrid Soft Chew.  ",https://www.iheartjane.com/embed/stores/487/products/1064819/muv-watermelon-soft-chews-100mg,https://v2.checkprojectstatus.com/Laravel/uploads/products/166115963516601173251656048139_8641.jpg,166115963516601173251656048139_8641.jpg,1,1,1000
muv_apollo_beach,1:1 Mandarin Soft Chews,Edible,Candies,Hybrid,,100mg,100mg,25,,MÜV,1064821,"Carefully crafted and perfected by artisan confectionaries, MÜV Soft Chews deliver a consistent dose of medical marijuana and robust flavor with every bite.  Zesty, bright, and refreshing Mandarin flavor will deliver equal doses of CBD and THC in every delicious bite, making this hybrid a tasty daytime option. ",https://www.iheartjane.com/embed/stores/487/products/1064821/muv-1-1-mandarin-soft-chews-100mg-cbd-100mg-thc,https://v2.checkprojectstatus.com/Laravel/uploads/products/166115963516601173251656048139_8641.jpg,166115963516601173251656048139_8641.jpg,1,1,1000
muv_apollo_beach,2:1 Strawberry Peach Soft Chews ,Edible,Candies,Hybrid,,100mg,200mg,30,,MÜV,1064824,"Carefully crafted and perfected by artisan confectionaries, MÜV Soft Chews deliver a consistent dose of medical marijuana and robust flavor with every bite.  Enjoy the taste of summer anytime with Strawberry Peach Soft Chews. This hybrid 2:1 CBD/THC is a great option day or night. ",https://www.iheartjane.com/embed/stores/487/products/1064824/muv-2-1-strawberry-peach-soft-chews-200mg-cbd-100mg-thc,https://v2.checkprojectstatus.com/Laravel/uploads/products/166115963516601173251656048139_8641.jpg,166115963516601173251656048139_8641.jpg,1,1,1000
muv_apollo_beach,Berry Soft Chews,Edible,Candies,Indica,,,,25,,MÜV,1064803,"Carefully crafted and perfected by artisan confectionaries, MÜV Soft Chews deliver a consistent dose of medical marijuana and robust flavor with every bite. This Soft Chew is packed with berry flavor in a perfectly textured vegan bite. Indica Berry Soft Chews are a delicious option to unwind and enjoy.  ",https://www.iheartjane.com/embed/stores/487/products/1064803/muv-berry-soft-chews-100mg,https://v2.checkprojectstatus.com/Laravel/uploads/products/166115963516601173251656048139_8641.jpg,166115963516601173251656048139_8641.jpg,1,1,1000
